,Jméno,Titul,Věk,Strana,Navrhující_strana,Politická_příslušnost,Číslo_na_kandidátce,Hlasy_počet,Hlasy_procenta,Pořadí_zvolení_náhradníka,Mandát,Rok_kandidatury
0,Adamcová Svetluša,,42,Česká str.sociálně demokrat.,ČSSD,ČSSD,12,1919,2.27,6,0,2002
1,Agh Alexandr,,40,"Koalice KDU-ČSL, SZ",SZ,BEZPP,24,336,1.92,0,0,2002
2,Augusta Pavel Ing.,Ing.,38,Nezáv.sdruž.sport.města Mostu,SSZ,SSZ,3,1099,2.92,3,0,2002
3,Babák Jindřich,,48,Komunistická str.Čech a Moravy,KSČM,KSČM,15,3749,2.25,1,0,2002
4,Babováková Tatiana JUDr.,JUDr.,48,"Koalice KDU-ČSL, SZ",SZ,BEZPP,10,484,2.77,0,0,2002
5,Bachura Milan,,28,Sdružení nezávislých,SNK ED,BEZPP,29,1226,1.92,24,0,2002
6,Bajer Miloslav Mgr.,Mgr.,58,Občanská demokratická strana,ODS,ODS,16,3373,2.39,7,0,2002
7,Balín Roman,,21,Komunistická str.Čech a Moravy,KSČM,BEZPP,19,3695,2.22,5,0,2002
8,Balín Vlastimil RSDr.,RSDr.,52,Komunistická str.Čech a Moravy,KSČM,KSČM,1,4064,2.44,1,1,2002
9,Balogová Lenka,,37,Česká str.sociálně demokrat.,ČSSD,ČSSD,26,1852,2.19,19,0,2002
10,Bartes Petr,,28,"Koalice KDU-ČSL, SZ",KDU-ČSL,BEZPP,38,307,1.76,0,0,2002
11,Bártl Čestmír,,67,Občanská demokratická strana,ODS,ODS,41,2706,1.91,30,0,2002
12,Bártl Vladimír Ing.,Ing.,41,Občanská demokratická strana,ODS,ODS,1,3987,2.82,1,1,2002
13,Bartošová Jana,,58,Komunistická str.Čech a Moravy,KSČM,KSČM,20,3754,2.25,6,0,2002
14,Bejček Josef,,46,Nezáv.sdruž.sport.města Mostu,SSZ,BEZPP,18,704,1.87,16,0,2002
15,Belej Milan,,32,Komunistická str.Čech a Moravy,KSČM,KSČM,22,3677,2.21,8,0,2002
16,Belej Radek,,27,Komunistická str.Čech a Moravy,KSČM,KSČM,10,3751,2.25,10,1,2002
17,Beránková Anna Ing.,Ing.,56,Str.pro otevřenou společnost,SOS,BEZPP,43,1274,1.84,38,0,2002
18,Berger František,,42,Str.pro otevřenou společnost,SOS,BEZPP,29,1477,2.14,24,0,2002
19,Bertholdová Zdeňka,,40,Česká str.sociálně demokrat.,ČSSD,ČSSD,32,1817,2.14,25,0,2002
20,Bezucha František,,51,Česká str.sociálně demokrat.,ČSSD,ČSSD,17,1896,2.24,10,0,2002
21,Binko Vladislav,,39,Str.pro otevřenou společnost,SOS,BEZPP,19,1497,2.16,14,0,2002
22,Bláhová Milada,,39,Komunistická str.Čech a Moravy,KSČM,KSČM,27,3676,2.21,13,0,2002
23,Bočan Ondřej Ing.,Ing.,27,Unie svobody-Demokratická unie,US-DEU,BEZPP,31,360,3.34,0,0,2002
24,Böhm Jiří,,57,Komunistická str.Čech a Moravy,KSČM,KSČM,45,3329,2.0,31,0,2002
25,Bohuslavová Eva,,53,Sdružení nezávislých,SNK ED,BEZPP,18,1412,2.22,15,0,2002
26,Brabec Miroslav,,54,Str.pro otevřenou společnost,SOS,BEZPP,22,1482,2.14,17,0,2002
27,Breckl Ervín,,45,Str.pro otevřenou společnost,SOS,BEZPP,27,1457,2.11,22,0,2002
28,Brisudová Veronika,,55,Česká str.sociálně demokrat.,ČSSD,ČSSD,40,1676,1.98,33,0,2002
29,Brožík Josef Ing.,Ing.,65,Česká str.sociálně demokrat.,ČSSD,ČSSD,42,1593,1.88,35,0,2002
30,Bruschová Jaroslava,,41,Nezáv.sdruž.sport.města Mostu,SSZ,BEZPP,40,616,1.64,37,0,2002
31,Brynda Dalibor Ing.,Ing.,71,Česká str.sociálně demokrat.,ČSSD,ČSSD,6,2012,2.38,2,0,2002
32,Břečka František,,39,Občanská demokratická strana,ODS,ODS,21,3093,2.19,10,0,2002
33,Bujárková Soňa,,53,Česká str.sociálně demokrat.,ČSSD,ČSSD,29,1781,2.1,22,0,2002
34,Burda Josef,,33,"Koalice KDU-ČSL, SZ",KDU-ČSL,BEZPP,33,310,1.77,0,0,2002
35,Bureš Slavomír Bc.,Bc.,54,"Koalice KDU-ČSL, SZ",KDU-ČSL,KDU-ČSL,19,376,2.15,0,0,2002
36,Bydžovský Miloš,,58,Sdružení nezávislých,SNK ED,BEZPP,21,1654,2.6,1,0,2002
37,Cee Jan MUDr.,MUDr.,47,Str.pro otevřenou společnost,SOS,BEZPP,2,2348,3.4,1,1,2002
38,Ceeová Jiřina MUDr.,MUDr.,45,Unie svobody-Demokratická unie,US-DEU,BEZPP,19,703,6.53,0,0,2002
39,Cibulková Barbora,,20,Občanská demokratická strana,ODS,ODS,44,2641,1.87,33,0,2002
40,Cicvárek Jaroslav,,57,Komunistická str.Čech a Moravy,KSČM,KSČM,34,3595,2.16,20,0,2002
41,Cílková Táňa Ing.,Ing.,40,Národně demokratická strana,NDS,BEZPP,4,183,11.8,0,0,2002
42,Cipro Miroslav,,63,Česká str.sociálně demokrat.,ČSSD,ČSSD,8,1978,2.34,3,0,2002
43,Čapková Irena Ing.,Ing.,44,Str.pro otevřenou společnost,SOS,BEZPP,3,1962,2.84,3,1,2002
44,Čech Petr,,23,Sdružení nezávislých,SNK ED,BEZPP,36,1280,2.01,31,0,2002
45,Čechová Hana RNDr.,RNDr.,45,"Koalice KDU-ČSL, SZ",SZ,BEZPP,31,336,1.92,0,0,2002
46,Čejková Marcela,,36,"Koalice KDU-ČSL, SZ",KDU-ČSL,KDU-ČSL,3,461,2.64,0,0,2002
47,Čenkovičová Eva Mgr.,Mgr.,52,"Koalice KDU-ČSL, SZ",KDU-ČSL,BEZPP,6,578,3.31,0,0,2002
48,Čepelák Josef,,43,Nezáv.sdruž.sport.města Mostu,SSZ,SSZ,19,813,2.16,17,0,2002
49,Čermák Pavel,,38,Nezáv.sdruž.sport.města Mostu,SSZ,BEZPP,31,703,1.87,28,0,2002
50,Čermák Petr,,50,Nezáv.sdruž.sport.města Mostu,SSZ,SSZ,23,791,2.1,21,0,2002
51,Červenka Miroslav,,32,Občanská demokratická strana,ODS,ODS,43,2641,1.87,32,0,2002
52,Čoreja Mikuláš,,54,Česká str.sociálně demokrat.,ČSSD,ČSSD,35,1728,2.04,28,0,2002
53,Dalecký Roman Ing.,Ing.,44,Nezáv.sdruž.sport.města Mostu,SSZ,BEZPP,45,591,1.57,42,0,2002
54,Derner Milouš MUDr.,MUDr.,51,Sdružení nezávislých,SNK ED,BEZPP,12,1740,2.73,4,1,2002
55,Dernerová Alena MUDr.,MUDr.,44,Sdružení nezávislých,SNK ED,BEZPP,7,1942,3.05,2,1,2002
56,Dobiáš Jan Ing.,Ing.,41,Unie svobody-Demokratická unie,US-DEU,US-DEU,1,624,5.8,0,0,2002
57,Dobiášová Marie,,66,Unie svobody-Demokratická unie,US-DEU,US-DEU,37,291,2.7,0,0,2002
58,Dombrovská Lenka,,36,Občanská demokratická strana,ODS,ODS,9,3228,2.28,11,1,2002
59,Dostálová Ladislava,,33,Nezáv.sdruž.sport.města Mostu,SSZ,BEZPP,27,692,1.84,25,0,2002
60,Doubravská Marie,,54,Národně demokratická strana,NDS,BEZPP,15,78,5.03,0,0,2002
61,Doubravský Luděk,,47,Národně demokratická strana,NDS,BEZPP,10,70,4.51,0,0,2002
62,Drážek Jiří,,54,"Koalice KDU-ČSL, SZ",SZ,BEZPP,37,293,1.68,0,0,2002
63,Drienová Kristýna,,23,Sdružení nezávislých,SNK ED,BEZPP,26,1302,2.04,21,0,2002
64,Dundrová Eva,,42,Unie svobody-Demokratická unie,US-DEU,US-DEU,14,386,3.58,0,0,2002
65,Dušek Radovan Ing.,Ing.,31,Občanská demokratická strana,ODS,ODS,42,2767,1.96,31,0,2002
66,Dykastová Helena Ing.,Ing.,34,"Koalice KDU-ČSL, SZ",KDU-ČSL,BEZPP,22,391,2.24,0,0,2002
67,Erlitzová Alena,,45,Str.pro otevřenou společnost,SOS,BEZPP,18,1604,2.32,13,0,2002
68,Fekete Pavel,,27,Česká str.sociálně demokrat.,ČSSD,ČSSD,33,1821,2.15,26,0,2002
69,Feld Emil,,57,Česká str.sociálně demokrat.,ČSSD,ČSSD,22,1838,2.17,15,0,2002
70,Fencl Miroslav,,40,Občanská demokratická strana,ODS,ODS,13,3120,2.21,4,0,2002
71,Fiala Milan,,64,Občanská demokratická strana,ODS,ODS,38,2821,2.0,27,0,2002
72,Fiedler Petr,,58,Komunistická str.Čech a Moravy,KSČM,KSČM,39,3578,2.15,25,0,2002
73,Finferlová Alena MUDr.,MUDr.,51,Nezáv.sdruž.sport.města Mostu,SSZ,BEZPP,28,883,2.35,26,0,2002
74,Flek Jan,,53,Republikáni Miroslava Sládka,RMS,RMS,5,90,13.35,0,0,2002
75,Folprechtová Eva,,50,Komunistická str.Čech a Moravy,KSČM,KSČM,37,3594,2.16,23,0,2002
76,Fröhlich Otakar Ing.,Ing.,56,Česká str.sociálně demokrat.,ČSSD,ČSSD,18,1892,2.23,11,0,2002
77,Fuksa Jan,,55,Komunistická str.Čech a Moravy,KSČM,KSČM,30,3649,2.19,16,0,2002
78,Gabčo Pavel,,35,Česká str.sociálně demokrat.,ČSSD,ČSSD,25,1846,2.18,18,0,2002
79,Gabriš Milan,,45,Nezáv.sdruž.sport.města Mostu,SSZ,SSZ,5,1082,2.88,4,0,2002
80,Gärtner Jaroslav,,47,Str.pro otevřenou společnost,SOS,BEZPP,23,1478,2.14,18,0,2002
81,Grabowská Anna,,43,Nezáv.sdruž.sport.města Mostu,SSZ,SSZ,26,693,1.84,24,0,2002
82,Grajcar Juraj,,59,Komunistická str.Čech a Moravy,KSČM,KSČM,36,3583,2.15,22,0,2002
83,Grün Antonín,,55,Národně demokratická strana,NDS,BEZPP,7,66,4.25,0,0,2002
84,Gustová Magdalena,,56,"Koalice KDU-ČSL, SZ",SZ,BEZPP,26,304,1.74,0,0,2002
85,Hansl Vlastimil,,64,Komunistická str.Čech a Moravy,KSČM,KSČM,44,3399,2.04,30,0,2002
86,Hanzlíčková Renáta,,33,Unie svobody-Demokratická unie,US-DEU,US-DEU,10,429,3.98,0,0,2002
87,Harant Jiří Ing.Arch.,Ing.Arch.,36,Nezáv.sdruž.sport.města Mostu,SSZ,SSZ,17,870,2.31,15,0,2002
88,Haranza Luboš,,37,Národně demokratická strana,NDS,BEZPP,8,91,5.87,0,0,2002
89,Hauf Rudolf,,49,"Koalice KDU-ČSL, SZ",SZ,BEZPP,28,318,1.82,0,0,2002
90,Havela Valdemar Ing.,Ing.,48,Sdružení nezávislých,SNK ED,BEZPP,43,1207,1.89,38,0,2002
91,Hažmuka Zdeněk Ing.,Ing.,49,Sdružení nezávislých,SNK ED,BEZPP,41,1139,1.79,36,0,2002
92,Hejnalová Jana,,40,Nezáv.sdruž.sport.města Mostu,SSZ,BEZPP,30,761,2.02,27,0,2002
93,Hofmann Václav PhDr.,PhDr.,48,Občanská demokratická strana,ODS,ODS,18,3497,2.47,6,1,2002
94,Hofmannová Kateřina,,34,Nezáv.sdruž.sport.města Mostu,SSZ,BEZPP,41,698,1.85,38,0,2002
95,Hojdar Josef Ing.,Ing.,56,Česká str.sociálně demokrat.,ČSSD,ČSSD,16,2253,2.66,1,1,2002
96,Hojdarová Kateřina Mgr.,Mgr.,31,Česká str.sociálně demokrat.,ČSSD,ČSSD,7,2214,2.61,2,1,2002
97,Hollá Miroslava,,40,"Koalice KDU-ČSL, SZ",SZ,BEZPP,34,292,1.67,0,0,2002
98,Holovčák Vasil,,53,Nezáv.sdruž.sport.města Mostu,SSZ,SSZ,10,811,2.16,9,0,2002
99,Holý Lubomír,,36,Česká str.sociálně demokrat.,ČSSD,ČSSD,27,1858,2.19,20,0,2002
100,Homola Zdeněk,,47,"Koalice KDU-ČSL, SZ",KDU-ČSL,KDU-ČSL,23,331,1.89,0,0,2002
101,Horáková Eva,,51,Str.pro otevřenou společnost,SOS,BEZPP,30,1435,2.07,25,0,2002
102,Horváth Jaroslav,,28,"Koalice KDU-ČSL, SZ",KDU-ČSL,BEZPP,20,310,1.77,0,0,2002
103,Hošek Jiří,,59,Str.pro otevřenou společnost,SOS,BEZPP,36,1352,1.95,31,0,2002
104,Hošek Martin,,32,Komunistická str.Čech a Moravy,KSČM,KSČM,23,3721,2.23,9,0,2002
105,Hotový Karel RSDr.,RSDr.,59,Komunistická str.Čech a Moravy,KSČM,KSČM,7,3774,2.27,7,1,2002
106,Hotový Milan,,52,Komunistická str.Čech a Moravy,KSČM,KSČM,31,3655,2.19,17,0,2002
107,Houdová Marie,,53,Sdružení nezávislých,SNK ED,BEZPP,34,1260,1.98,29,0,2002
108,Hrdinová Libuše Mgr.,Mgr.,35,Občanská demokratická strana,ODS,ODS,17,3242,2.29,8,0,2002
109,Hrib Milan,,37,Str.pro otevřenou společnost,SOS,BEZPP,15,1530,2.21,10,0,2002
110,Hrneček Jaroslav,,64,Komunistická str.Čech a Moravy,KSČM,KSČM,13,3734,2.24,13,1,2002
111,Hůda Vladimír,,34,Unie svobody-Demokratická unie,US-DEU,US-DEU,43,332,3.08,0,0,2002
112,Hýsek Josef Ing.,Ing.,48,Komunistická str.Čech a Moravy,KSČM,KSČM,32,3633,2.18,18,0,2002
113,Chábera Václav,,65,Komunistická str.Čech a Moravy,KSČM,KSČM,33,3604,2.16,19,0,2002
114,Chaloupka Josef,,58,Občanská demokratická strana,ODS,ODS,34,2936,2.08,23,0,2002
115,Charvát Aleš,,71,Sdružení nezávislých,SNK ED,BEZPP,16,1265,1.99,13,0,2002
116,Chomout Jiří,,65,Česká str.sociálně demokrat.,ČSSD,ČSSD,36,1716,2.03,29,0,2002
117,Jahelková Jana,,52,Str.pro otevřenou společnost,SOS,KSČM,44,1267,1.83,39,0,2002
118,Jakubcová Vlasta Bc.,Bc.,43,Občanská demokratická strana,ODS,ODS,40,2852,2.02,29,0,2002
119,Jandová Ivana,,33,Občanská demokratická strana,ODS,ODS,23,3070,2.17,12,0,2002
120,Janeček Aleš Ing.,Ing.,51,Sdružení nezávislých,SNK ED,BEZPP,37,1356,2.13,32,0,2002
121,Janout Václav,,35,Občanská demokratická strana,ODS,ODS,5,3250,2.3,9,1,2002
122,Jelínková Irena,,30,Sdružení nezávislých,SNK ED,BEZPP,24,1273,2.0,19,0,2002
123,Jeníčková Hana JUDr.,JUDr.,53,Občanská demokratická strana,ODS,ODS,3,3442,2.44,8,1,2002
124,Jeřábek Vladimír,,43,Nezáv.sdruž.sport.města Mostu,SSZ,SSZ,9,1194,3.18,1,0,2002
125,Ježek Daniel,,30,Občanská demokratická strana,ODS,ODS,29,3011,2.13,18,0,2002
126,Ježek Jiří,,52,Komunistická str.Čech a Moravy,KSČM,KSČM,4,3891,2.34,4,1,2002
127,Jindřichová Věra,,41,Komunistická str.Čech a Moravy,KSČM,KSČM,29,3674,2.21,15,0,2002
128,Jírovcová Hana,,21,Komunistická str.Čech a Moravy,KSČM,KSČM,12,3776,2.27,12,1,2002
129,Jírovec Václav,,53,Komunistická str.Čech a Moravy,KSČM,KSČM,9,3840,2.31,9,1,2002
130,Jung Jiří,,52,Komunistická str.Čech a Moravy,KSČM,KSČM,35,3665,2.2,21,0,2002
131,Kabíček Ladislav Ing.,Ing.,48,Nezáv.sdruž.sport.města Mostu,SSZ,SSZ,4,1116,2.97,2,0,2002
132,Kačer František Ing.,Ing.,44,Sdružení nezávislých,SNK ED,BEZPP,2,1669,2.62,5,1,2002
133,Kadlec Igor,,48,Str.pro otevřenou společnost,SOS,BEZPP,25,1497,2.16,20,0,2002
134,Kadlecová Zděnka,,36,Republikáni Miroslava Sládka,RMS,RMS,3,124,18.39,0,0,2002
135,Kamenský Rastislav,,60,Komunistická str.Čech a Moravy,KSČM,KSČM,43,3462,2.08,29,0,2002
136,Kamír Václav,,68,Republikáni Miroslava Sládka,RMS,BEZPP,7,82,12.16,0,0,2002
137,Karásek Miloš,,43,Str.pro otevřenou společnost,SOS,BEZPP,41,1309,1.89,36,0,2002
138,Karkoška Petr Ing.,Ing.,46,Unie svobody-Demokratická unie,US-DEU,US-DEU,17,397,3.69,0,0,2002
139,Kasal Pavel MUDr.,MUDr.,37,Nezáv.sdruž.sport.města Mostu,SSZ,BEZPP,29,949,2.52,6,0,2002
140,Kašpar Jiří Ing.,Ing.,52,Česká str.sociálně demokrat.,ČSSD,ČSSD,14,2023,2.39,8,0,2002
141,Kašparová Drahomíra,,39,Str.pro otevřenou společnost,SOS,BEZPP,40,1374,1.99,35,0,2002
142,Kejř Jiří,,34,Občanská demokratická strana,ODS,ODS,31,3021,2.14,20,0,2002
143,Khuntová Naděžda Ing.,Ing.,35,Česká str.sociálně demokrat.,ČSSD,ČSSD,38,1749,2.06,31,0,2002
144,Klíma Petr Ing.,Ing.,45,Str.pro otevřenou společnost,SOS,BEZPP,28,1516,2.19,23,0,2002
145,Klimecký Oldřich Ing. CSc.,Ing.,62,Občanská demokratická strana,ODS,ODS,2,3317,2.35,7,1,2002
146,Klimecký Petr Ing.,Ing.,40,Občanská demokratická strana,ODS,ODS,22,3128,2.21,11,0,2002
147,Kňákal Karel,,78,Česká str.sociálně demokrat.,ČSSD,ČSSD,31,1716,2.03,24,0,2002
148,Knorre Jaroslav,,48,Nezáv.sdruž.sport.města Mostu,SSZ,SSZ,2,1258,3.35,2,1,2002
149,Köhler Oto Ing.,Ing.,44,Unie svobody-Demokratická unie,US-DEU,US-DEU,5,422,3.92,0,0,2002
150,Köhler Zdeněk,,39,Unie svobody-Demokratická unie,US-DEU,BEZPP,39,298,2.77,0,0,2002
151,Koláček Slavomír,,43,Česká str.sociálně demokrat.,ČSSD,ČSSD,28,1897,2.24,21,0,2002
152,Koleszárová Pegy,,30,Str.pro otevřenou společnost,SOS,BEZPP,14,1499,2.17,9,0,2002
153,Kolmanová Marta,,23,"Koalice KDU-ČSL, SZ",SZ,BEZPP,43,336,1.92,0,0,2002
154,Kondrová Irena,,47,Komunistická str.Čech a Moravy,KSČM,KSČM,40,3596,2.16,26,0,2002
155,Konečný Milan Ing.,Ing.,52,Nezáv.sdruž.sport.města Mostu,SSZ,SSZ,1,1373,3.65,1,1,2002
156,Konečný René Ing.,Ing.,31,Občanská demokratická strana,ODS,ODS,27,3122,2.21,16,0,2002
157,Koranda Jiří Ing.,Ing.,44,Str.pro otevřenou společnost,SOS,BEZPP,11,1709,2.47,3,0,2002
158,Kouda Pavel Ing.,Ing.,43,Česká str.sociálně demokrat.,ČSSD,ČSSD,19,2053,2.42,12,0,2002
159,Koutský Jaroslav JUDr.,JUDr.,49,"Koalice KDU-ČSL, SZ",KDU-ČSL,KDU-ČSL,9,593,3.4,0,0,2002
160,Kozel Jaroslav,,52,Nezáv.sdruž.sport.města Mostu,SSZ,SSZ,16,918,2.44,8,0,2002
161,Kožnar Milan,,28,Nezáv.sdruž.sport.města Mostu,SSZ,SSZ,24,805,2.14,22,0,2002
162,Krajíčková Jaroslava,,60,Str.pro otevřenou společnost,SOS,BEZPP,26,1422,2.06,21,0,2002
163,Král Roman,,31,Str.pro otevřenou společnost,SOS,BEZPP,20,1483,2.14,15,0,2002
164,Krbec Jiří Ing.,Ing.,58,Česká str.sociálně demokrat.,ČSSD,ČSSD,3,2054,2.43,7,1,2002
165,Kreisinger Ladislav,,55,Unie svobody-Demokratická unie,US-DEU,US-DEU,11,378,3.51,0,0,2002
166,Krejčíř Vojtěch Mgr.,Mgr.,51,"Koalice KDU-ČSL, SZ",KDU-ČSL,KDU-ČSL,14,424,2.43,0,0,2002
167,Krpálek Jan,,67,Str.pro otevřenou společnost,SOS,BEZPP,39,1305,1.89,34,0,2002
168,Krůta Pavel,,57,Republikáni Miroslava Sládka,RMS,BEZPP,6,83,12.31,0,0,2002
169,Krzák Jan,,59,Strana za životní jistoty,SŽJ,SŽJ,1,180,43.16,0,0,2002
170,Kubal Josef,,55,Občanská demokratická strana,ODS,ODS,36,2916,2.06,25,0,2002
171,Kubal Tomáš,,28,Občanská demokratická strana,ODS,ODS,7,3282,2.32,10,1,2002
172,Kubát Kamil,,31,Národně demokratická strana,NDS,BEZPP,13,110,7.09,0,0,2002
173,Kubiš Pavel Ing.,Ing.,40,"Koalice KDU-ČSL, SZ",KDU-ČSL,BEZPP,17,353,2.02,0,0,2002
174,Kubová Lucie,,31,Česká str.sociálně demokrat.,ČSSD,ČSSD,37,1757,2.07,30,0,2002
175,Kučera Luboš,,30,Unie svobody-Demokratická unie,US-DEU,US-DEU,15,385,3.58,0,0,2002
176,Kudrlička Jaroslav Ing.,Ing.,41,Občanská demokratická strana,ODS,ODS,32,3065,2.17,21,0,2002
177,Kunz Vilém Ing.,Ing.,28,Sdružení nezávislých,SNK ED,BEZPP,8,1589,2.5,4,0,2002
178,Kurcin Jíří,,53,Komunistická str.Čech a Moravy,KSČM,KSČM,3,3899,2.34,3,1,2002
179,Kurcin Radek,,29,Komunistická str.Čech a Moravy,KSČM,BEZPP,8,3762,2.26,8,1,2002
180,Kurka Radek Ing.,Ing.,29,Str.pro otevřenou společnost,SOS,BEZPP,31,1487,2.15,26,0,2002
181,Kysela Roman Bc.,Bc.,36,"Koalice KDU-ČSL, SZ",KDU-ČSL,BEZPP,11,439,2.51,0,0,2002
182,Lacina František,,42,Sdružení nezávislých,SNK ED,BEZPP,4,1519,2.39,5,0,2002
183,Lancová Helena Ing.,Ing.,48,Nezáv.sdruž.sport.města Mostu,SSZ,SSZ,21,765,2.03,19,0,2002
184,Látková Lenka,,39,Občanská demokratická strana,ODS,ODS,37,2906,2.06,26,0,2002
185,Laur Roman,,60,Komunistická str.Čech a Moravy,KSČM,KSČM,11,3770,2.26,11,1,2002
186,Lehman Vladislav,,50,Unie svobody-Demokratická unie,US-DEU,US-DEU,7,467,4.34,0,0,2002
187,Lehmanová Hana,,47,Unie svobody-Demokratická unie,US-DEU,BEZPP,35,368,3.42,0,0,2002
188,Linetová Lenka,,27,Sdružení nezávislých,SNK ED,BEZPP,38,1212,1.9,33,0,2002
189,Lisický Pavel Ing.,Ing.,52,Česká str.sociálně demokrat.,ČSSD,ČSSD,24,1900,2.24,17,0,2002
190,Litto Vlastimil,,40,Česká str.sociálně demokrat.,ČSSD,ČSSD,23,1863,2.2,16,0,2002
191,Lochmanová Romana,,35,Národně demokratická strana,NDS,BEZPP,12,74,4.77,0,0,2002
192,Lučan Karel,,28,Sdružení nezávislých,SNK ED,BEZPP,39,1241,1.95,34,0,2002
193,Lukešová Liduše,,66,Republikáni Miroslava Sládka,RMS,RMS,1,98,14.54,0,0,2002
194,Luxík Zdeněk,,58,Unie svobody-Demokratická unie,US-DEU,US-DEU,25,318,2.95,0,0,2002
195,Lysáková Razímová Iva,,36,"Koalice KDU-ČSL, SZ",KDU-ČSL,BEZPP,12,370,2.12,0,0,2002
196,Macura Miroslav,,47,"Koalice KDU-ČSL, SZ",SZ,BEZPP,32,299,1.71,0,0,2002
197,Madar Petr Ing.,Ing.,42,Občanská demokratická strana,ODS,ODS,24,3110,2.2,13,0,2002
198,Magadová Jana Mgr.,Mgr.,41,Národně demokratická strana,NDS,NDS,2,168,10.83,0,0,2002
199,Mareš Petr,,31,Unie svobody-Demokratická unie,US-DEU,US-DEU,23,332,3.08,0,0,2002
200,Marinkov Radko,,31,Nezáv.sdruž.sport.města Mostu,SSZ,BEZPP,32,882,2.34,29,0,2002
201,Maronyák Štefan Ing,,44,Česká str.sociálně demokrat.,ČSSD,ČSSD,1,2207,2.61,3,1,2002
202,Mašek Lukáš,,21,Unie svobody-Demokratická unie,US-DEU,US-DEU,29,328,3.05,0,0,2002
203,Mašek Vlastimil,,38,Komunistická str.Čech a Moravy,KSČM,KSČM,28,3670,2.2,14,0,2002
204,Mazur Zdislav Ing.,Ing.,52,Sdružení nezávislých,SNK ED,BEZPP,6,1383,2.17,6,0,2002
205,Menclová Renata Mgr.,Mgr.,41,Sdružení nezávislých,SNK ED,BEZPP,13,1453,2.28,10,0,2002
206,Měska Pavel,,51,Nezáv.sdruž.sport.města Mostu,SSZ,SSZ,15,841,2.23,14,0,2002
207,Mirgová Jarmila,,43,Česká str.sociálně demokrat.,ČSSD,ČSSD,34,1748,2.06,27,0,2002
208,Morávek Rudolf,,40,Národně demokratická strana,NDS,NDS,5,86,5.54,0,0,2002
209,Mráček Jan,,32,Unie svobody-Demokratická unie,US-DEU,US-DEU,33,308,2.86,0,0,2002
210,Muck Martin,,35,Komunistická str.Čech a Moravy,KSČM,BEZPP,26,3699,2.22,12,0,2002
211,Musil Jiří,,38,Nezáv.sdruž.sport.města Mostu,SSZ,BEZPP,43,570,1.51,40,0,2002
212,Myšička Ladislav MUDr.,MUDr.,55,Komunistická str.Čech a Moravy,KSČM,KSČM,42,3734,2.24,28,0,2002
213,Nikolesková Věra,,38,"Koalice KDU-ČSL, SZ",KDU-ČSL,BEZPP,30,304,1.74,0,0,2002
214,Novák Jiří Ing.,Ing.,56,Komunistická str.Čech a Moravy,KSČM,KSČM,6,3768,2.26,6,1,2002
215,Nováková Jaroslava Ing.,Ing.,45,Česká str.sociálně demokrat.,ČSSD,ČSSD,39,1721,2.03,32,0,2002
216,Nováková Věra,,73,Česká str.sociálně demokrat.,ČSSD,ČSSD,44,1498,1.77,37,0,2002
217,Novotný Bohumil,,54,Republikáni Miroslava Sládka,RMS,BEZPP,2,119,17.65,0,0,2002
218,Novotný Martin,,27,Sdružení nezávislých,SNK ED,BEZPP,23,1301,2.04,18,0,2002
219,Novotný Vladimír Bc.,Bc.,30,Sdružení nezávislých,SNK ED,BEZPP,14,1493,2.34,11,0,2002
220,Odvárka Jan,,61,Komunistická str.Čech a Moravy,KSČM,KSČM,38,3553,2.13,24,0,2002
221,Oharek Vilém,,54,Občanská demokratická strana,ODS,ODS,35,2955,2.09,24,0,2002
222,Oppltová Liduška,,57,Česká str.sociálně demokrat.,ČSSD,ČSSD,30,1775,2.1,23,0,2002
223,Paďourek Ivo Ing.,Ing.,53,Str.pro otevřenou společnost,SOS,BEZPP,16,1571,2.27,11,0,2002
224,Pachman Lubomír,,49,"Koalice KDU-ČSL, SZ",SZ,BEZPP,15,446,2.55,0,0,2002
225,Papranec Vladimír,,31,Nezáv.sdruž.sport.města Mostu,SSZ,SSZ,22,780,2.07,20,0,2002
226,Pavlovský Michal MUDr.,MUDr.,45,"Koalice KDU-ČSL, SZ",KDU-ČSL,KDU-ČSL,5,646,3.7,0,0,2002
227,Pechová Alena,,47,Sdružení nezávislých,SNK ED,BEZPP,15,1339,2.1,12,0,2002
228,Pelcman Miroslav Ing.,Ing.,45,Str.pro otevřenou společnost,SOS,BEZPP,6,1809,2.62,4,1,2002
229,Pergl Willi,,41,Str.pro otevřenou společnost,SOS,BEZPP,33,1444,2.09,28,0,2002
230,Peroutka Miroslav,,65,Str.pro otevřenou společnost,SOS,BEZPP,21,1502,2.17,16,0,2002
231,Pešek Jiří MUDr.,MUDr.,60,Občanská demokratická strana,ODS,ODS,4,3748,2.65,3,1,2002
232,Peštová Berenika Ing.,Ing.,31,Sdružení nezávislých,SNK ED,BEZPP,3,1652,2.59,2,0,2002
233,Petrik Petr,,41,Občanská demokratická strana,ODS,ODS,14,3149,2.23,5,0,2002
234,Pfeifer Petr,,29,Nezáv.sdruž.sport.města Mostu,SSZ,BEZPP,37,689,1.83,34,0,2002
235,Piroš Vladimír,,53,Občanská demokratická strana,ODS,ODS,28,3021,2.14,17,0,2002
236,Pitín Luboš Ing.,Ing.,38,Str.pro otevřenou společnost,SOS,BEZPP,10,1748,2.53,5,1,2002
237,Pitterlová Magdalena,,28,"Koalice KDU-ČSL, SZ",SZ,BEZPP,25,381,2.18,0,0,2002
