,Jméno,Titul,Věk,Strana,Navrhující_strana,Politická_příslušnost,Číslo_na_kandidátce,Hlasy_počet,Hlasy_procenta,Pořadí_zvolení_náhradníka,Mandát,Rok_kandidatury
2161,Termota Tomáš,,46,"Občané městu, město občanům",OMMO,OMMO,10,134,4.24,0,0,2018
2162,Tomko Michal,,50,Sdružení Mostečané Mostu,NK,BEZPP,21,2452,2.21,13,0,2018
2163,Tourková Markéta,,41,Piráti a Zelení pro Most,Zelení,BEZPP,42,1207,1.98,38,0,2018
2164,Trčka Michal,,19,ANO 2011,ANO,BEZPP,27,2459,2.2,18,0,2018
2165,Trunschka Kamil,,40,ProMOST,ProMOST,BEZPP,28,4406,2.21,12,0,2018
2166,Tuhý Tomáš,,42,Občanská demokratická strana,ODS,BEZPP,31,1238,2.12,27,0,2018
2167,Tuleja Julius,,63,Svob.a př.dem.-T.Okamura (SPD),SPD,BEZPP,29,692,2.21,0,0,2018
2168,Tulejová Jolana,,64,Svob.a př.dem.-T.Okamura (SPD),SPD,BEZPP,18,717,2.29,0,0,2018
2169,Turčanová Vladislava Ing.,Ing.,33,Otevřená radnice Most,Hora 2014,BEZPP,5,422,2.47,0,0,2018
2170,Turek Václav,,62,"Občané městu, město občanům",OMMO,BEZPP,19,132,4.18,0,0,2018
2171,Turis Jiří Ing.,Ing.,56,ProMOST,ProMOST,ProMOST,13,4412,2.21,13,1,2018
2172,Tvrz Václav Ing.,Ing.,50,"Občané městu, město občanům",OMMO,BEZPP,8,170,5.38,0,0,2018
2173,Ujčíková Andrea Bc.,Bc.,31,Občanská demokratická strana,ODS,BEZPP,43,1069,1.83,39,0,2018
2174,Ulrych David,,40,Česká str.sociálně demokrat.,ČSSD,ČSSD,26,485,2.15,0,0,2018
2175,Ulrych Josef,,34,Česká str.sociálně demokrat.,ČSSD,ČSSD,44,451,2.0,0,0,2018
2176,Urbánková Mikulová Jitka,,40,ANO 2011,ANO,ANO,10,2543,2.2800000000000002,1,0,2018
2177,Vacková Petra MA,,33,Hnutí za zrovnopráv. maminek,NK,BEZPP,38,93,1.96,0,0,2018
2178,Václavík Ondřej,,32,Česká str.sociálně demokrat.,ČSSD,ČSSD,35,471,2.09,0,0,2018
2179,Vagaši Ján JUDr.,JUDr.,78,Komunistická str.Čech a Moravy,KSČM,KSČM,13,1234,2.25,9,0,2018
2180,Vágner Jaroslav,,64,Česká str.sociálně demokrat.,ČSSD,ČSSD,27,476,2.11,0,0,2018
2181,Vajshajtl Stanislav,,49,Sdružení Mostečané Mostu,NK,BEZPP,25,2424,2.18,17,0,2018
2182,Váňa Ivan Ing.,Ing.,76,Občanská demokratická strana,ODS,ODS,22,1439,2.46,2,0,2018
2183,Vaněk Leoš,,53,"Občané městu, město občanům",OMMO,OMMO,9,139,4.4,0,0,2018
2184,Varga Michal,,54,Svob.a př.dem.-T.Okamura (SPD),SPD,SPD,3,778,2.49,0,0,2018
2185,Varga Tomáš,,29,Svob.a př.dem.-T.Okamura (SPD),SPD,SPD,16,707,2.2600000000000002,0,0,2018
2186,Vávra Vladimír,,46,Svob.a př.dem.-T.Okamura (SPD),SPD,BEZPP,27,699,2.23,0,0,2018
2187,Vávrová Hana,,70,Svob.a př.dem.-T.Okamura (SPD),SPD,BEZPP,19,708,2.2600000000000002,0,0,2018
2188,Vávrová Monika,,43,Svob.a př.dem.-T.Okamura (SPD),SPD,BEZPP,34,691,2.21,0,0,2018
2189,Venclíček Vratislav,,63,Starost. a nezáv. s podp.Toryů,NK,BEZPP,14,208,2.07,0,0,2018
2190,Veselá Kamila,,44,Hnutí za zrovnopráv. maminek,NK,BEZPP,12,93,1.96,0,0,2018
2191,Veselý Lukáš Ing.,Ing.,38,Otevřená radnice Most,Hora 2014,BEZPP,33,362,2.12,0,0,2018
2192,Větrovec Miroslav,,45,ProMOST,ProMOST,BEZPP,23,4389,2.2,7,0,2018
